PERSONALE;Mimmo;Aloi;6574893453;
PERSONALE;luca;ceres;1046666788;
PERSONALE;luca;ceres;1046666788;aurajacket@gmail.com
PERSONALE;giacomo;paciotti;25336473829;paciotrto@gmail.com
PERSONALE;luca;ceres;6758493021;luca@blu.it
PERSONALE;lollo;raggi;1234567892;raggix@libero.it
LAVORO;Fabio;Capannelli;1234567897;garage25
PERSONALE;luca ;ceres;3352;deng@gg.raggi
PERSONALE;deng yu aho;aura;wr32253;ergdsgdsdsfe
PERSONALE;pippo;trollo;1234567891;
LAVORO;simone;sangria;67676767676;simosangria@sangria.com
PERSONALE;f;r;ty;w
LAVORO;fe;f;e;ae
PERSONALE;u;u;u;u
PERSONALE;jpiero;aura;ru43t749386;32
LAVORO;w;w;w;w
LAVORO;w;w;w;w
PERSONALE;a;a;a;a
PERSONALE;t;t;t;t
PERSONALE;f;f;f;f
